Age,Gender,City,Occupation,Monthly_Income,Orders_Per_Week,Apps_Used,Delivery_Speed_Importance,Food_Quality_Importance,Willingness_Wait_Extra,Multi_Restaurant_Order,Diet_Preferences,Open_Personalized_Suggestions,Important_Features,Group_Order_Frequency,Spend_Per_Order,Max_Premium_Pay,Promotion_Motivation,Stopped_Using_App,Reason_Stopped,EcoFriendly_Packaging_Importance,Trust_AI_Recommendations,Comfortable_Sharing_Data,Emotional_Connection_App,Willingness_Try_App
27,Female,Pune,Employed - Full Time,20000-50000,3-5,Uber Eats,2,3,4,Yes,Vegan,Yes,"Fresh food, Fast delivery, Sustainability",Sometimes,<250,601-800,Combo deals,No,NA,1,Yes,Yes,4,3
27,Female,Mumbai,Employed - Part Time,80001-120000,1-2,"Zomato, Deliveroo",4,5,4,Yes,No preference,Yes,"Sustainability, Combo offers, Fresh food",Sometimes,250-500,400-600,Loyalty points,No,NA,3,Maybe,Yes,5,4
31,Male,Bangalore,Employed - Part Time,20000-50000,<1,"Talabat, Others",3,5,4,No,No preference,Yes,"Fast delivery, Combo offers, Discounts",Sometimes,501-800,601-800,Free delivery,No,NA,3,Yes,No,4,5
20,Female,Pune,Homemaker,80001-120000,<1,"Uber Eats, Swiggy",3,4,2,Yes,Vegetarian,No,"Fast delivery, Sustainability, Fresh food",Sometimes,<250,400-600,Cashback,No,NA,4,Maybe,Yes,3,4
21,Male,Pune,Self-employed,50001-80000,3-5,"Deliveroo, Zomato, Swiggy",5,4,4,Yes,Vegetarian,Yes,"Sustainability, Ethical sourcing, Combo offers",Rarely,250-500,601-800,Combo deals,No,NA,3,Yes,Yes,2,3
27,Female,Delhi,Retired,80001-120000,1-2,"Talabat, Uber Eats",2,5,2,Yes,No preference,Yes,"Combo offers, Ethical sourcing, Fast delivery",Often,250-500,400-600,Free delivery,No,NA,4,Maybe,Yes,4,3
24,Female,Delhi,Retired,80001-120000,3-5,"Zomato, Uber Eats, Deliveroo",4,3,5,No,No preference,Yes,"Discounts, Combo offers, Sustainability",Rarely,501-800,<400,Combo deals,Yes,Other,3,Yes,Yes,5,3
31,Female,Hyderabad,Retired,20000-50000,1-2,"Talabat, Zomato, Deliveroo",3,3,3,Yes,Vegetarian,Yes,"Sustainability, Discounts, Ethical sourcing",Rarely,250-500,400-600,Loyalty points,No,NA,3,Maybe,Yes,3,4
25,Male,Delhi,Retired,80001-120000,1-2,"Uber Eats, Swiggy",4,2,4,No,Keto,No,"Ethical sourcing, Discounts, Combo offers",Sometimes,250-500,400-600,Loyalty points,No,NA,4,No,Yes,2,3
22,Female,Delhi,Employed - Full Time,<20000,<1,"Others, Deliveroo",4,4,3,No,Vegetarian,Yes,"Discounts, Combo offers, Fresh food",Sometimes,501-800,400-600,Cashback,No,NA,5,No,Yes,2,5
37,Female,Delhi,Homemaker,80001-120000,<1,"Swiggy, Others",1,5,1,No,Vegan,Yes,"Sustainability, Fast delivery, Discounts",Sometimes,250-500,<400,Loyalty points,No,NA,4,Yes,No,2,4
28,Female,Hyderabad,Homemaker,50001-80000,>5,"Others, Swiggy",4,3,3,No,No preference,Yes,"Fast delivery, Fresh food, Sustainability",Rarely,250-500,601-800,Cashback,Yes,Other,4,Maybe,Yes,3,5
30,Male,Bangalore,Currently Unemployed,<20000,3-5,Talabat,2,5,5,Yes,No preference,Yes,"Fresh food, Fast delivery, Ethical sourcing",Rarely,<250,400-600,Free delivery,Yes,Other,4,Yes,Yes,5,5
22,Male,Bangalore,Self-employed,50001-80000,1-2,"Uber Eats, Deliveroo",5,4,5,No,Vegetarian,Yes,"Fresh food, Combo offers, Ethical sourcing",Sometimes,501-800,400-600,Combo deals,No,NA,3,Yes,Yes,2,5
27,Male,Kolkata,Retired,>120000,1-2,"Uber Eats, Zomato, Others",5,5,3,Yes,Other,Yes,"Fast delivery, Combo offers, Ethical sourcing",Sometimes,801-1200,400-600,Loyalty points,No,NA,4,No,Yes,3,3
30,Male,Kolkata,Employed - Full Time,<20000,1-2,"Deliveroo, Uber Eats",3,5,5,No,Vegan,Yes,"Fast delivery, Fresh food, Sustainability",Rarely,>1200,400-600,Combo deals,Yes,Limited Food Choices,3,Maybe,No,3,4
24,Female,Delhi,Self-employed,50001-80000,1-2,"Others, Deliveroo",3,5,4,Yes,No preference,Yes,"Fresh food, Sustainability, Combo offers",Sometimes,801-1200,<400,Combo deals,No,NA,4,Yes,Yes,5,3
31,Male,Kolkata,Retired,50001-80000,1-2,Uber Eats,3,5,4,No,Keto,Yes,"Fast delivery, Sustainability, Combo offers",Rarely,501-800,<400,Free delivery,No,NA,5,Yes,No,3,3
26,Other,Hyderabad,Employed - Full Time,80001-120000,<1,"Deliveroo, Talabat",4,5,1,Yes,Keto,Yes,"Fast delivery, Sustainability, Discounts",Rarely,501-800,601-800,Free delivery,No,NA,5,No,Yes,2,4
28,Male,Bangalore,Self-employed,20000-50000,1-2,"Talabat, Others, Uber Eats",3,4,5,Yes,Keto,Yes,"Fast delivery, Fresh food, Ethical sourcing",Rarely,501-800,400-600,Loyalty points,No,NA,3,Maybe,Yes,2,5
26,Male,Pune,Homemaker,20000-50000,3-5,Others,3,5,4,No,Vegetarian,Yes,"Ethical sourcing, Fresh food, Sustainability",Often,250-500,400-600,Free delivery,Yes,Limited Food Choices,5,Yes,Yes,3,2
39,Female,Bangalore,Homemaker,<20000,>5,"Talabat, Deliveroo, Uber Eats",3,5,5,Yes,No preference,No,"Ethical sourcing, Discounts, Fast delivery",Sometimes,250-500,<400,Combo deals,No,NA,3,Maybe,Yes,4,3
29,Female,Bangalore,Student,50001-80000,<1,Deliveroo,2,4,4,Yes,No preference,Yes,"Fresh food, Sustainability, Fast delivery",Rarely,250-500,400-600,Cashback,No,NA,3,Maybe,Yes,2,3
24,Female,Hyderabad,Employed - Part Time,20000-50000,3-5,"Others, Talabat",4,4,4,Yes,Vegetarian,Yes,"Ethical sourcing, Discounts, Fast delivery",Sometimes,250-500,<400,Cashback,No,NA,3,Yes,Yes,3,5
34,Female,Kolkata,Retired,80001-120000,1-2,"Uber Eats, Others",1,5,4,No,No preference,Yes,"Combo offers, Fast delivery, Sustainability",Often,501-800,400-600,Cashback,No,NA,4,Yes,Yes,3,5
23,Female,Pune,Currently Unemployed,<20000,1-2,"Uber Eats, Talabat",4,5,3,Yes,Vegetarian,Yes,"Combo offers, Discounts, Ethical sourcing",Sometimes,250-500,400-600,Loyalty points,Yes,Delayed Delivery,2,Maybe,No,3,2
31,Male,Hyderabad,Self-employed,50001-80000,<1,"Talabat, Zomato",3,4,3,Yes,No preference,Yes,"Combo offers, Fresh food, Discounts",Often,250-500,400-600,Free delivery,No,NA,4,Maybe,No,2,4
20,Prefer not to say,Delhi,Currently Unemployed,<20000,1-2,"Zomato, Others, Uber Eats",3,4,3,Yes,Vegetarian,No,"Fresh food, Sustainability, Fast delivery",Rarely,250-500,>1000,Free delivery,No,NA,5,Maybe,Yes,5,5
23,Other,Chennai,Student,20000-50000,1-2,Zomato,4,5,1,Yes,Vegetarian,Yes,"Sustainability, Fresh food, Discounts",Often,801-1200,400-600,Free delivery,No,NA,3,Yes,Yes,3,3
30,Female,Bangalore,Employed - Part Time,20000-50000,1-2,Talabat,5,5,4,No,Vegetarian,Yes,"Fast delivery, Sustainability, Ethical sourcing",Sometimes,501-800,400-600,Free delivery,Yes,Poor Food Quality,4,Yes,Yes,4,4
33,Male,Chennai,Self-employed,20000-50000,3-5,Others,4,5,4,No,No preference,Yes,"Discounts, Ethical sourcing, Sustainability",Rarely,250-500,400-600,Combo deals,No,NA,3,Yes,No,3,2
30,Female,Hyderabad,Employed - Full Time,50001-80000,3-5,Talabat,3,5,5,Yes,No preference,No,"Fast delivery, Fresh food, Discounts",Sometimes,250-500,<400,Cashback,No,NA,4,No,Yes,5,4
29,Male,Hyderabad,Retired,80001-120000,1-2,"Zomato, Swiggy, Uber Eats",3,5,2,Yes,Vegetarian,Yes,"Combo offers, Discounts, Fresh food",Often,250-500,801-1000,Combo deals,No,NA,1,Yes,Yes,3,4
28,Male,Hyderabad,Employed - Part Time,50001-80000,3-5,"Zomato, Talabat, Swiggy",5,5,3,No,Vegan,Yes,"Fresh food, Ethical sourcing, Discounts",Sometimes,<250,400-600,Loyalty points,Yes,Poor Customer Service,5,No,Yes,3,5
22,Male,Chennai,Homemaker,>120000,1-2,"Others, Swiggy",3,5,1,Yes,Vegetarian,No,"Ethical sourcing, Combo offers, Fast delivery",Sometimes,250-500,<400,Cashback,Yes,High Cost,4,Yes,Yes,3,3
26,Male,Hyderabad,Student,80001-120000,<1,"Others, Uber Eats",2,5,1,Yes,No preference,Yes,"Sustainability, Fast delivery, Fresh food",Rarely,501-800,601-800,Cashback,Yes,Poor Food Quality,5,Yes,No,3,3
27,Female,Delhi,Employed - Part Time,50001-80000,1-2,"Swiggy, Others, Uber Eats",5,5,1,Yes,No preference,Yes,"Fast delivery, Discounts, Fresh food",Sometimes,250-500,<400,Combo deals,No,NA,2,Yes,No,2,3
35,Female,Hyderabad,Retired,80001-120000,<1,"Swiggy, Uber Eats",5,4,4,Yes,Vegetarian,Yes,"Fast delivery, Fresh food, Sustainability",Rarely,250-500,>1000,Loyalty points,No,NA,5,Yes,Yes,5,4
31,Female,Mumbai,Employed - Part Time,50001-80000,1-2,Zomato,5,4,1,Yes,Vegan,Yes,"Fresh food, Sustainability, Fast delivery",Rarely,<250,801-1000,Loyalty points,No,NA,5,Maybe,Yes,4,5
21,Male,Kolkata,Retired,<20000,<1,Others,5,5,4,Yes,No preference,Yes,"Fresh food, Ethical sourcing, Discounts",Sometimes,250-500,400-600,Cashback,No,NA,5,Yes,Yes,3,5
31,Male,Chennai,Homemaker,50001-80000,<1,"Talabat, Deliveroo",5,3,2,Yes,Vegetarian,Yes,"Combo offers, Fresh food, Sustainability",Often,<250,<400,Free delivery,No,NA,5,No,Yes,3,2
28,Male,Mumbai,Self-employed,<20000,3-5,"Swiggy, Deliveroo, Others",2,4,5,Yes,Vegan,Yes,"Combo offers, Fast delivery, Discounts",Sometimes,250-500,<400,Loyalty points,Yes,Limited Food Choices,3,Yes,Yes,2,5
26,Prefer not to say,Hyderabad,Employed - Full Time,50001-80000,1-2,Zomato,2,4,4,No,Vegan,No,"Fresh food, Combo offers, Discounts",Rarely,250-500,400-600,Combo deals,Yes,Limited Food Choices,4,Yes,Yes,4,2
33,Male,Delhi,Homemaker,50001-80000,1-2,Others,4,5,5,Yes,Keto,No,"Fast delivery, Sustainability, Ethical sourcing",Sometimes,501-800,<400,Loyalty points,No,NA,4,Yes,No,3,4
35,Female,Bangalore,Employed - Full Time,<20000,<1,"Deliveroo, Others",4,3,5,No,Gluten-free,Yes,"Sustainability, Ethical sourcing, Fresh food",Often,250-500,400-600,Cashback,No,NA,4,Yes,No,3,5
34,Female,Pune,Self-employed,20000-50000,1-2,Others,4,4,5,Yes,No preference,Yes,"Fast delivery, Ethical sourcing, Sustainability",Sometimes,250-500,801-1000,Free delivery,No,NA,5,Yes,Yes,5,2
25,Male,Kolkata,Employed - Part Time,80001-120000,1-2,"Swiggy, Uber Eats",3,3,5,No,Vegetarian,Yes,"Combo offers, Sustainability, Fast delivery",Sometimes,250-500,400-600,Loyalty points,No,NA,3,Maybe,Yes,3,1
28,Female,Pune,Employed - Full Time,50001-80000,3-5,Deliveroo,3,5,4,No,No preference,No,"Fast delivery, Sustainability, Discounts",Often,501-800,601-800,Cashback,No,NA,3,Yes,Yes,4,3
31,Female,Hyderabad,Student,20000-50000,1-2,Deliveroo,4,4,2,No,Vegetarian,Yes,"Fresh food, Sustainability, Ethical sourcing",Sometimes,<250,601-800,Loyalty points,Yes,Poor Food Quality,3,Yes,No,3,4
34,Female,Kolkata,Student,50001-80000,<1,"Zomato, Talabat, Uber Eats",1,4,3,No,No preference,Yes,"Ethical sourcing, Sustainability, Combo offers",Rarely,501-800,801-1000,Free delivery,No,NA,5,Maybe,No,4,4
27,Female,Kolkata,Retired,50001-80000,1-2,"Uber Eats, Deliveroo",3,4,2,Yes,No preference,Yes,"Combo offers, Fresh food, Ethical sourcing",Rarely,801-1200,<400,Combo deals,No,NA,5,Yes,Yes,3,4
29,Male,Delhi,Homemaker,50001-80000,<1,"Others, Talabat",4,5,4,Yes,No preference,Yes,"Fresh food, Ethical sourcing, Combo offers",Often,250-500,400-600,Cashback,No,NA,4,Maybe,No,3,5
24,Male,Kolkata,Self-employed,>120000,1-2,Others,4,4,3,Yes,Vegetarian,Yes,"Sustainability, Fresh food, Ethical sourcing",Sometimes,501-800,601-800,Cashback,Yes,Poor Food Quality,4,Yes,No,5,5
24,Female,Chennai,Retired,50001-80000,1-2,Uber Eats,3,3,5,Yes,Vegan,Yes,"Sustainability, Ethical sourcing, Discounts",Rarely,501-800,601-800,Free delivery,No,NA,4,Yes,Yes,3,5
34,Female,Mumbai,Homemaker,20000-50000,3-5,Zomato,4,5,5,Yes,Keto,Yes,"Combo offers, Fast delivery, Discounts",Sometimes,250-500,801-1000,Cashback,Yes,Poor Food Quality,4,No,Yes,3,4
36,Male,Mumbai,Homemaker,80001-120000,<1,"Talabat, Zomato",4,5,3,No,No preference,No,"Ethical sourcing, Combo offers, Sustainability",Sometimes,501-800,601-800,Free delivery,Yes,Other,3,Maybe,Yes,2,1
29,Female,Mumbai,Retired,80001-120000,1-2,"Others, Uber Eats, Talabat",3,5,3,Yes,Vegan,Yes,"Discounts, Fresh food, Fast delivery",Often,250-500,<400,Cashback,No,NA,5,Yes,Yes,1,3
35,Female,Chennai,Currently Unemployed,<20000,<1,"Deliveroo, Others",1,5,5,Yes,Other,Yes,"Discounts, Combo offers, Sustainability",Rarely,250-500,400-600,Free delivery,Yes,Poor Customer Service,4,Yes,Yes,4,4
31,Female,Pune,Homemaker,20000-50000,1-2,"Uber Eats, Talabat, Others",3,5,3,No,Other,Yes,"Sustainability, Combo offers, Fresh food",Sometimes,501-800,<400,Loyalty points,No,NA,4,Yes,Yes,3,5
26,Male,Delhi,Currently Unemployed,20000-50000,1-2,"Others, Talabat",3,2,4,Yes,Gluten-free,Yes,"Fast delivery, Fresh food, Sustainability",Often,501-800,400-600,Loyalty points,No,NA,1,Yes,Yes,4,5
31,Female,Kolkata,Student,50001-80000,3-5,"Uber Eats, Swiggy, Deliveroo",5,5,2,Yes,Other,No,"Fast delivery, Discounts, Fresh food",Rarely,801-1200,400-600,Loyalty points,No,NA,5,Maybe,No,3,3
37,Female,Chennai,Student,50001-80000,<1,"Zomato, Deliveroo",2,4,4,No,Vegetarian,Yes,"Sustainability, Combo offers, Fresh food",Rarely,250-500,601-800,Cashback,No,NA,5,Yes,Yes,3,2
29,Male,Mumbai,Homemaker,50001-80000,<1,"Swiggy, Talabat, Others",4,5,3,Yes,Vegan,No,"Fresh food, Combo offers, Fast delivery",Often,250-500,801-1000,Free delivery,Yes,Poor Customer Service,4,Maybe,Yes,4,2
37,Male,Hyderabad,Student,80001-120000,1-2,"Swiggy, Uber Eats",2,4,5,Yes,Vegan,Yes,"Fast delivery, Fresh food, Sustainability",Sometimes,250-500,601-800,Free delivery,No,NA,5,Yes,Yes,3,3
18,Other,Bangalore,Self-employed,50001-80000,<1,"Zomato, Others, Swiggy",3,4,4,No,No preference,Yes,"Combo offers, Sustainability, Fast delivery",Sometimes,<250,400-600,Combo deals,No,NA,4,Maybe,Yes,4,4
34,Male,Kolkata,Currently Unemployed,<20000,<1,"Swiggy, Zomato, Others",4,5,2,No,Vegan,Yes,"Fresh food, Sustainability, Ethical sourcing",Sometimes,250-500,<400,Loyalty points,No,NA,4,No,Yes,3,5
30,Female,Chennai,Currently Unemployed,20000-50000,1-2,"Others, Zomato, Swiggy",3,4,2,No,Other,No,"Combo offers, Fresh food, Ethical sourcing",Rarely,250-500,801-1000,Combo deals,No,NA,4,Maybe,Yes,2,4
28,Female,Chennai,Homemaker,20000-50000,<1,"Zomato, Uber Eats",4,5,3,Yes,Vegetarian,Yes,"Combo offers, Discounts, Fresh food",Often,250-500,<400,Loyalty points,No,NA,5,Yes,Yes,3,4
30,Male,Delhi,Student,20000-50000,<1,"Talabat, Zomato",3,2,5,No,Vegetarian,Yes,"Ethical sourcing, Sustainability, Fresh food",Rarely,250-500,<400,Combo deals,Yes,High Cost,4,Maybe,No,1,4
20,Female,Delhi,Employed - Full Time,50001-80000,3-5,"Talabat, Zomato",3,3,4,Yes,No preference,No,"Sustainability, Discounts, Fast delivery",Rarely,250-500,<400,Loyalty points,Yes,Limited Food Choices,5,No,No,3,2
28,Male,Chennai,Retired,80001-120000,1-2,"Uber Eats, Talabat, Swiggy",4,5,3,Yes,Vegetarian,Yes,"Discounts, Fresh food, Sustainability",Rarely,>1200,400-600,Free delivery,Yes,High Cost,4,No,No,2,5
31,Female,Mumbai,Retired,20000-50000,<1,Others,3,5,3,Yes,Vegetarian,Yes,"Fast delivery, Combo offers, Ethical sourcing",Rarely,501-800,<400,Loyalty points,No,NA,5,Maybe,Yes,4,4
37,Male,Bangalore,Currently Unemployed,50001-80000,1-2,"Talabat, Deliveroo",5,5,3,Yes,No preference,Yes,"Fast delivery, Combo offers, Discounts",Often,<250,801-1000,Cashback,No,NA,5,No,Yes,2,3
27,Female,Kolkata,Homemaker,50001-80000,1-2,Zomato,4,4,4,Yes,Vegetarian,No,"Fast delivery, Fresh food, Sustainability",Sometimes,801-1200,>1000,Loyalty points,No,NA,4,Maybe,Yes,2,4
25,Male,Delhi,Homemaker,20000-50000,1-2,"Uber Eats, Zomato, Deliveroo",3,5,4,Yes,Vegetarian,Yes,"Ethical sourcing, Sustainability, Discounts",Often,501-800,>1000,Loyalty points,No,NA,5,Yes,No,3,4
27,Male,Kolkata,Self-employed,20000-50000,1-2,"Deliveroo, Zomato",1,5,3,Yes,Vegetarian,No,"Fresh food, Ethical sourcing, Discounts",Sometimes,801-1200,<400,Free delivery,No,NA,4,No,Yes,1,2
34,Other,Mumbai,Employed - Part Time,20000-50000,<1,Others,4,5,4,Yes,Keto,Yes,"Sustainability, Fresh food, Fast delivery",Sometimes,250-500,801-1000,Cashback,Yes,Other,5,Maybe,No,1,3
31,Male,Kolkata,Employed - Part Time,<20000,1-2,"Deliveroo, Uber Eats",4,4,4,No,Other,No,"Sustainability, Combo offers, Fresh food",Sometimes,250-500,>1000,Free delivery,Yes,Limited Food Choices,5,Yes,Yes,3,4
27,Female,Hyderabad,Currently Unemployed,80001-120000,1-2,Talabat,3,5,5,Yes,No preference,Yes,"Ethical sourcing, Discounts, Fast delivery",Often,801-1200,801-1000,Combo deals,No,NA,3,Yes,No,2,3
32,Male,Delhi,Retired,<20000,1-2,"Others, Zomato",5,5,5,Yes,Vegetarian,Yes,"Ethical sourcing, Discounts, Fast delivery",Sometimes,250-500,601-800,Combo deals,Yes,Limited Food Choices,5,Maybe,No,2,3
30,Female,Mumbai,Self-employed,20000-50000,3-5,"Deliveroo, Others",3,5,4,Yes,Vegetarian,No,"Discounts, Fresh food, Combo offers",Rarely,801-1200,601-800,Cashback,No,NA,4,Yes,Yes,2,4
34,Male,Mumbai,Self-employed,50001-80000,1-2,Deliveroo,5,5,4,Yes,Keto,No,"Combo offers, Fresh food, Fast delivery",Rarely,501-800,<400,Combo deals,Yes,Delayed Delivery,5,Yes,No,4,4
26,Other,Bangalore,Self-employed,>120000,1-2,Uber Eats,2,5,3,Yes,Other,Yes,"Combo offers, Fast delivery, Discounts",Rarely,>1200,801-1000,Cashback,Yes,High Cost,5,Yes,Yes,4,4
28,Male,Bangalore,Currently Unemployed,20000-50000,1-2,Others,5,3,4,Yes,Vegetarian,Yes,"Sustainability, Discounts, Combo offers",Sometimes,250-500,<400,Loyalty points,No,NA,2,Maybe,No,3,5
28,Male,Hyderabad,Employed - Part Time,<20000,1-2,Talabat,4,4,3,Yes,Vegetarian,No,"Ethical sourcing, Combo offers, Sustainability",Often,250-500,400-600,Combo deals,Yes,Poor Food Quality,4,Maybe,No,5,4
22,Male,Mumbai,Retired,<20000,<1,"Zomato, Talabat, Others",3,5,3,No,No preference,Yes,"Fresh food, Ethical sourcing, Discounts",Rarely,250-500,>1000,Loyalty points,No,NA,4,Maybe,No,1,4
31,Male,Pune,Self-employed,20000-50000,<1,Others,3,4,3,Yes,Other,Yes,"Combo offers, Fresh food, Discounts",Rarely,>1200,400-600,Free delivery,No,NA,5,No,Yes,3,5
31,Female,Mumbai,Retired,20000-50000,3-5,"Talabat, Swiggy",3,3,4,Yes,Vegetarian,No,"Sustainability, Ethical sourcing, Combo offers",Rarely,250-500,<400,Combo deals,No,NA,5,No,Yes,4,4
30,Male,Bangalore,Student,50001-80000,1-2,"Swiggy, Uber Eats",5,4,2,Yes,Vegetarian,Yes,"Fast delivery, Discounts, Ethical sourcing",Sometimes,250-500,>1000,Free delivery,No,NA,4,Yes,No,3,3
28,Female,Pune,Homemaker,20000-50000,1-2,Others,3,4,3,Yes,Vegetarian,Yes,"Combo offers, Fast delivery, Fresh food",Rarely,250-500,>1000,Free delivery,No,NA,5,Yes,No,5,3
22,Male,Delhi,Homemaker,<20000,1-2,"Talabat, Uber Eats",2,5,3,Yes,Vegan,No,"Combo offers, Ethical sourcing, Discounts",Rarely,250-500,<400,Cashback,No,NA,4,Yes,Yes,5,4
27,Male,Delhi,Retired,80001-120000,1-2,Uber Eats,4,5,1,Yes,No preference,Yes,"Sustainability, Fresh food, Combo offers",Rarely,<250,801-1000,Free delivery,Yes,High Cost,2,Yes,Yes,2,4
28,Female,Kolkata,Employed - Full Time,20000-50000,<1,Swiggy,4,4,2,Yes,No preference,Yes,"Fast delivery, Discounts, Ethical sourcing",Sometimes,250-500,400-600,Cashback,Yes,Delayed Delivery,3,Maybe,Yes,5,5
25,Female,Chennai,Employed - Full Time,20000-50000,3-5,"Deliveroo, Swiggy",4,3,4,No,No preference,No,"Discounts, Sustainability, Fast delivery",Sometimes,501-800,400-600,Cashback,Yes,High Cost,3,Maybe,No,5,4
29,Male,Bangalore,Currently Unemployed,20000-50000,<1,"Uber Eats, Swiggy, Others",4,5,4,No,Vegan,Yes,"Ethical sourcing, Combo offers, Sustainability",Sometimes,<250,400-600,Cashback,No,NA,3,No,No,3,5
32,Male,Chennai,Currently Unemployed,>120000,3-5,"Uber Eats, Talabat, Others",3,5,3,Yes,Vegan,No,"Fresh food, Fast delivery, Combo offers",Rarely,801-1200,<400,Cashback,No,NA,3,Maybe,Yes,5,2
39,Male,Pune,Homemaker,20000-50000,3-5,"Uber Eats, Deliveroo",5,5,5,No,Vegetarian,No,"Sustainability, Discounts, Fresh food",Sometimes,501-800,400-600,Cashback,Yes,Poor Customer Service,2,Maybe,Yes,1,4
30,Female,Bangalore,Student,80001-120000,3-5,"Zomato, Swiggy, Others",3,5,4,Yes,Vegetarian,Yes,"Combo offers, Fast delivery, Fresh food",Rarely,501-800,<400,Loyalty points,No,NA,5,No,Yes,4,5
31,Female,Hyderabad,Employed - Part Time,50001-80000,1-2,Deliveroo,2,4,3,No,No preference,Yes,"Fresh food, Combo offers, Sustainability",Rarely,501-800,801-1000,Cashback,Yes,Delayed Delivery,3,Yes,Yes,2,3
29,Male,Mumbai,Employed - Part Time,<20000,<1,"Deliveroo, Talabat, Uber Eats",4,5,4,Yes,Vegetarian,Yes,"Fresh food, Sustainability, Combo offers",Sometimes,250-500,601-800,Combo deals,Yes,Poor Customer Service,3,Yes,No,2,3
20,Female,Hyderabad,Currently Unemployed,>120000,1-2,Zomato,4,5,5,Yes,Vegan,Yes,"Ethical sourcing, Fresh food, Combo offers",Rarely,250-500,801-1000,Cashback,No,NA,3,No,Yes,3,4
29,Female,Pune,Student,20000-50000,1-2,Zomato,3,5,3,No,Vegetarian,Yes,"Combo offers, Fast delivery, Ethical sourcing",Sometimes,501-800,601-800,Loyalty points,Yes,Other,4,Yes,Yes,3,5
30,Female,Bangalore,Currently Unemployed,<20000,1-2,"Zomato, Swiggy, Uber Eats",4,5,2,No,Keto,Yes,"Combo offers, Discounts, Sustainability",Rarely,250-500,<400,Combo deals,No,NA,4,Yes,No,4,2
42,Female,Pune,Employed - Part Time,80001-120000,3-5,"Talabat, Swiggy",3,4,5,No,Keto,Yes,"Discounts, Ethical sourcing, Sustainability",Rarely,250-500,801-1000,Combo deals,No,NA,3,Maybe,Yes,3,4
29,Male,Mumbai,Retired,50001-80000,1-2,"Talabat, Uber Eats, Others",3,5,4,Yes,No preference,Yes,"Discounts, Fast delivery, Ethical sourcing",Often,<250,801-1000,Loyalty points,No,NA,4,Yes,Yes,3,2
31,Male,Delhi,Currently Unemployed,50001-80000,1-2,"Swiggy, Uber Eats",5,5,2,No,Vegan,Yes,"Fresh food, Combo offers, Sustainability",Sometimes,501-800,400-600,Combo deals,No,NA,5,Yes,No,2,4
29,Male,Delhi,Self-employed,20000-50000,1-2,"Swiggy, Zomato, Talabat",2,4,4,No,No preference,Yes,"Fast delivery, Combo offers, Sustainability",Sometimes,250-500,<400,Loyalty points,No,NA,4,No,Yes,3,5
